Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_of_week,Int Total
50f3ab14dc08a9bda0e6d445f6164d1ffe6aaa71,2025-12-02 12:45:00,2025-12-02 13:00:00,706,3.1,17031063302.0,17031060300.0,$10,$0,$2.98,$12.98,41.935,-87.64,41.951,-87.671,12,1,12.98
a6a65a57c3ae552d05a7cccee43cbd11a509c56f,2025-02-04 11:30:00,2025-02-04 12:00:00,957,7.2,17031030101.0,17031842200.0,$10,$3,$3.39,$16.39,41.991,-87.657,41.905,-87.65,11,1,16.39
2eb9ed22a9f59fc9b7baae5e3fe8b5a8c26a4ced,2025-07-03 17:00:00,2025-07-03 17:15:00,"1,256",4.5,17031680900.0,17031730400.0,$22.5,$0,$6.59,$29.09,41.776,-87.638,41.718,-87.653,17,3,29.09
ffacb6d32cd047ab47419cd883b3c6deb275ac52,2025-05-18 00:30:00,2025-05-18 00:45:00,"1,030",4.3,17031243100.0,17031220500.0,$25,$0,$1.23,$26.23,41.892,-87.675,41.928,-87.705,0,6,26.23
d5c3d762d30bcde9c6485240938be2e4f6e89aa4,2025-06-07 21:00:00,2025-06-07 21:15:00,420,1.9,17031062200.0,17031832500.0,$10,$0,$4.79,$14.79,41.943,-87.657,41.922,-87.664,21,5,14.79
137cf694db4c392958510acd618c662233e8f15f,2025-07-21 20:15:00,2025-07-21 20:30:00,821,2.5,17031839100.0,17031071500.0,$10,$0,$5.24,$15.24,41.881,-87.633,41.915,-87.632,20,0,15.24
8478720f1c5d520f4664a82a4f7b0cc4105c7c6e,2025-07-15 05:30:00,2025-07-15 05:45:00,"1,220",10.9,17031833100.0,17031980100.0,$17.5,$6,$21.16,$44.66,41.879,-87.657,41.786,-87.751,5,1,44.66
908d56dc90f27f44d47ac7db2ccb0e9325e97915,2025-08-03 00:15:00,2025-08-03 00:15:00,379,1.7,17031081700.0,17031071500.0,$12.5,$0,$3.41,$15.91,41.892,-87.632,41.915,-87.632,0,6,15.91
f8724efddb7775606d95e20748db82ebb1abd7f5,2025-10-16 22:30:00,2025-10-16 22:45:00,831,3.6,17031580200.0,17031660302.0,$7.5,$0,$4.71,$12.21,41.827,-87.699,41.784,-87.698,22,3,12.21
637103a02f9139841f5f0edcffbe3e3f6ca54e88,2025-02-10 15:15:00,2025-02-10 15:45:00,"1,286",11.8,17031440102.0,17031281900.0,$22.5,$0,$1.23,$23.73,41.741,-87.601,41.879,-87.643,15,0,23.73
