Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_type
d7006d87ba7eacd20dbef08891d2dda9bfc3a644,2025-09-04 11:15:00,2025-09-04 11:30:00,444,1.2,17031839100.0,17031833000.0,$7.5,$0,$4.52,$12.02,41.881,-87.633,41.885,-87.657,11,0
0295222850a3f09e02a385f38847dc4077f70e7d,2025-10-11 09:45:00,2025-10-11 10:00:00,"1,486",10.4,17031831800.0,17031980000.0,$25,$5,$10.82,$40.82,41.978,-87.716,41.979,-87.903,9,1
b61bfc22b5bc236e09ec954473a901ff6ce16e09,2025-08-06 16:45:00,2025-08-06 17:00:00,"1,498",4.6,17031410700.0,17031460302.0,$20,$0,$6.98,$26.98,41.798,-87.594,41.747,-87.557,16,0
d21453471021328bc3afb2e79f8270c5062c8ed2,2025-12-05 22:45:00,2025-12-05 23:15:00,"1,242",4.3,17031241400.0,17031061901.0,$22.5,$0,$1.23,$23.73,41.906,-87.675,41.943,-87.643,22,0
9b86f9c246225214991f4266f29e8433206d628c,2025-11-15 00:00:00,2025-11-15 00:15:00,810,6.5,17031081700.0,17031210100.0,$17.5,$0,$4.38,$21.88,41.892,-87.632,41.943,-87.701,0,1
7e884d536705cf5c0b9d3aaa4236f2dd03199ec8,2025-07-05 04:00:00,2025-07-05 04:15:00,970,6.4,17031271800.0,17031250600.0,$20,$0,$1.23,$21.23,41.871,-87.698,41.906,-87.771,4,1
7347592a2e80a9132995dddbd7c3bac8fe0e3f5d,2025-05-17 19:45:00,2025-05-17 20:00:00,"1,420",3.4,17031841000.0,17031081700.0,$22.5,$0,$5.17,$27.67,41.849,-87.624,41.892,-87.632,19,1
3a8fdf1b17f45c4b0c23502e31c339531f518b12,2025-11-08 23:30:00,2025-11-08 23:45:00,981,3.2,17031833100.0,17031081800.0,$25,$5,$1.23,$31.23,41.879,-87.657,41.893,-87.638,23,1
049f0b4604acac30f230ea4ba0a60460f15d2a4d,2025-05-18 17:15:00,2025-05-18 17:30:00,"1,153",3.2,17031830900.0,17031140602.0,$17.5,$3,$4.01,$24.51,41.929,-87.685,41.965,-87.721,17,2
8be50c5710fadb344ad797134e8bff5be17fd3eb,2025-07-06 04:00:00,2025-07-06 04:15:00,870,7.0,17031031200.0,17031320100.0,$22.5,$0,$9.99,$32.49,41.973,-87.657,41.885,-87.621,4,2
