day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
1,0,41.893,-87.638,41.907,-87.641,33,2376984,2026,04,25
0,20,41.928,-87.751,41.979,-87.903,9,1822245,2026,04,22
1,3,41.929,-87.651,41.907,-87.636,123,2662349,2026,04,22
2,8,41.903,-87.626,41.879,-87.657,17,4449502,2026,04,25
0,4,41.978,-87.82,41.99,-87.783,2,558225,2026,04,22
0,3,41.885,-87.643,41.938,-87.639,112,403490,2026,04,22
0,11,41.859,-87.617,41.786,-87.751,1227,751945,2026,04,26
0,2,41.885,-87.657,41.907,-87.636,863,293669,2026,04,26
0,22,41.913,-87.641,41.893,-87.638,25,2118638,2026,04,22
2,23,41.893,-87.626,41.902,-87.638,35,5064289,2026,04,26
0,13,41.885,-87.657,41.834,-87.633,9,909869,2026,04,25
0,13,41.935,-87.643,41.899,-87.626,9,937859,2026,04,22
0,21,42.016,-87.673,42.0,-87.663,20,2022508,2026,04,22
2,11,41.943,-87.718,41.892,-87.632,9,4509336,2026,04,25
1,21,41.963,-87.713,41.965,-87.721,2,3597192,2026,04,26
0,20,41.885,-87.621,41.9,-87.632,325,1790876,2026,04,22
0,22,41.936,-87.666,41.935,-87.647,21,2138782,2026,04,22
0,16,41.934,-87.722,41.943,-87.718,14,1302579,2026,04,22
0,13,41.777,-87.611,41.813,-87.599,4,875927,2026,04,25
0,0,41.936,-87.656,41.945,-87.662,22,96375,2026,04,22
0,20,41.885,-87.657,41.898,-87.654,266,1789612,2026,04,22
1,15,41.885,-87.643,41.893,-87.626,164,3129298,2026,04,25
0,2,41.892,-87.632,41.972,-87.671,61,298765,2026,04,26
0,23,41.884,-87.77,41.769,-87.638,1,2245239,2026,04,26
0,13,41.879,-87.657,41.892,-87.632,400,907127,2026,04,25
2,22,41.965,-87.677,41.943,-87.652,6,5031638,2026,04,26
0,22,41.892,-87.67,41.892,-87.689,18,2098173,2026,04,22
2,1,41.907,-87.69,41.934,-87.722,2,3929125,2026,04,22
0,15,41.965,-87.663,41.967,-87.694,4,1201561,2026,04,22
2,3,41.898,-87.654,41.929,-87.661,24,4103318,2026,04,22
0,3,41.937,-87.71,41.928,-87.7,8,441718,2026,04,22
0,18,41.898,-87.621,41.892,-87.632,419,1526206,2026,04,26
0,14,41.856,-87.675,41.874,-87.662,9,1014597,2026,04,22
0,23,41.915,-87.632,41.9,-87.632,133,2274945,2026,04,26
0,14,41.777,-87.611,41.764,-87.581,4,990739,2026,04,22
1,16,41.871,-87.622,41.892,-87.629,47,3186260,2026,04,22
0,3,41.958,-87.66,41.891,-87.619,107,455049,2026,04,22
1,19,41.851,-87.635,41.881,-87.633,217,3388448,2026,04,22
0,14,41.871,-87.631,41.899,-87.709,5,1021296,2026,04,22
0,18,41.879,-87.643,41.892,-87.629,450,1514131,2026,04,26
2,4,41.958,-87.66,41.985,-87.654,10,4233336,2026,04,26
1,2,41.95,-87.644,41.936,-87.661,13,2589935,2026,04,22
0,1,41.892,-87.613,41.851,-87.635,129,185254,2026,04,22
2,23,41.928,-87.695,41.893,-87.626,4,5077725,2026,04,26
2,19,41.973,-87.694,41.943,-87.718,3,4848994,2026,04,22
2,3,41.767,-87.671,41.746,-87.592,1,4072947,2026,04,22
0,2,41.769,-87.62,41.79,-87.601,5,263086,2026,04,26
0,17,41.879,-87.643,41.903,-87.626,187,1389876,2026,04,22
1,2,41.898,-87.621,41.946,-87.654,24,2558381,2026,04,22
0,16,41.798,-87.594,41.912,-87.684,1,1244485,2026,04,22
0,1,41.885,-87.657,41.936,-87.652,357,179412,2026,04,22
0,16,41.979,-87.903,41.936,-87.661,77,1325814,2026,04,22
2,0,41.899,-87.626,41.929,-87.674,15,3831755,2026,04,22
0,13,41.956,-87.713,41.943,-87.701,13,948085,2026,04,22
0,14,41.782,-87.73,41.814,-87.731,22,991583,2026,04,22
0,17,41.903,-87.626,41.893,-87.626,176,1405294,2026,04,26
0,15,41.922,-87.664,41.942,-87.661,4,1176994,2026,04,22
0,19,41.874,-87.662,41.935,-87.64,4,1641005,2026,04,25
1,19,41.786,-87.751,41.891,-87.619,101,3379719,2026,04,22
2,23,41.885,-87.657,41.881,-87.633,436,5059747,2026,04,26
1,18,41.893,-87.626,41.885,-87.621,493,3329487,2026,04,22
2,21,41.909,-87.631,41.893,-87.653,4,4949032,2026,04,22
1,2,41.716,-87.575,41.65,-87.599,2,2523495,2026,04,22
0,6,41.893,-87.638,41.906,-87.631,36,646085,2026,04,26
0,2,41.893,-87.653,41.962,-87.645,30,300520,2026,04,26
0,20,41.943,-87.718,41.961,-87.762,16,1834767,2026,04,22
2,4,41.922,-87.69,41.9,-87.675,9,4208814,2026,04,22
0,21,41.689,-87.617,41.769,-87.566,4,1870165,2026,04,22
1,11,41.893,-87.638,41.9,-87.632,7,2996132,2026,04,26
2,5,41.877,-87.622,41.892,-87.632,289,4266744,2026,04,26
1,5,41.881,-87.633,41.885,-87.657,574,2794274,2026,04,22
0,17,41.786,-87.751,41.922,-87.641,20,1359735,2026,04,22
1,5,41.903,-87.626,41.945,-87.662,2,2806555,2026,04,22
1,23,41.898,-87.654,41.936,-87.656,17,3737229,2026,04,25
0,18,41.895,-87.62,41.942,-87.771,8,1525084,2026,04,26
1,15,41.929,-87.651,41.87,-87.675,2,3145491,2026,04,25
0,1,41.928,-87.7,41.885,-87.621,32,211468,2026,04,22
2,23,41.912,-87.699,41.898,-87.654,1,5071530,2026,04,26
0,5,41.881,-87.633,41.936,-87.652,105,586549,2026,04,22
0,22,41.922,-87.651,41.941,-87.671,15,2126499,2026,04,22
0,18,41.856,-87.669,41.87,-87.675,40,1501857,2026,04,26
0,0,41.899,-87.684,41.908,-87.671,31,65289,2026,04,22
0,17,41.813,-87.594,41.813,-87.619,10,1368135,2026,04,22
0,21,41.941,-87.671,41.922,-87.656,10,1985554,2026,04,22
1,21,41.943,-87.718,41.953,-87.646,2,3587360,2026,04,26
0,13,41.796,-87.772,41.885,-87.621,6,882049,2026,04,25
1,2,41.881,-87.633,41.885,-87.657,1329,2549258,2026,04,22
0,20,41.833,-87.654,41.908,-87.671,6,1764908,2026,04,22
0,12,41.95,-87.713,41.979,-87.903,103,839535,2026,04,25
1,0,41.929,-87.646,41.943,-87.647,25,2399583,2026,04,25
0,23,41.915,-87.646,41.9,-87.632,31,2274613,2026,04,26
1,6,41.922,-87.656,41.907,-87.641,3,2877708,2026,04,22
1,7,41.892,-87.632,41.856,-87.683,13,2912373,2026,04,22
2,5,41.943,-87.643,41.92,-87.771,3,4307204,2026,04,26
0,4,41.979,-87.903,41.915,-87.654,192,558759,2026,04,22
0,4,41.756,-87.552,41.79,-87.601,4,478382,2026,04,22
0,0,41.936,-87.666,41.958,-87.66,26,95831,2026,04,22
2,7,41.951,-87.667,41.98,-87.652,3,4429808,2026,04,25
1,2,41.958,-87.66,41.898,-87.621,20,2593217,2026,04,22
1,15,41.871,-87.622,41.859,-87.617,372,3125720,2026,04,25
0,16,41.876,-87.694,41.895,-87.62,4,1266613,2026,04,22
2,22,41.983,-87.877,41.979,-87.903,262,5036204,2026,04,26
0,23,41.802,-87.632,41.777,-87.611,18,2213377,2026,04,26
0,15,41.885,-87.643,41.885,-87.621,1564,1153438,2026,04,22
0,17,41.703,-87.665,41.929,-87.685,1,1338577,2026,04,22
2,2,41.915,-87.654,41.949,-87.652,10,4024513,2026,04,22
2,4,41.958,-87.653,41.936,-87.666,10,4233529,2026,04,26
2,0,41.929,-87.651,41.915,-87.632,153,3850841,2026,04,22
0,13,41.783,-87.621,41.9,-87.675,2,877575,2026,04,25
0,0,41.922,-87.656,41.949,-87.662,20,84217,2026,04,22
0,12,41.922,-87.656,41.859,-87.617,16,828506,2026,04,25
0,13,41.892,-87.632,41.741,-87.61,5,913430,2026,04,25
0,0,41.885,-87.657,41.929,-87.646,379,53322,2026,04,22
1,22,41.915,-87.632,41.885,-87.657,380,3658109,2026,04,25
