group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
3748569,368,328,1858,743,2226,1071s,"{'WALK', 'BUS'}"
4818055,479,429,5461,1382,5940,2358s,"{'WALK', 'BUS'}"
1456061,780,651,0,0,780,651s,{'WALK'}
3855730,955,836,4279,960,5234,2176s,"{'WALK', 'BUS'}"
430065,1289,1116,3482,330,4771,1447s,"{'SUBWAY', 'WALK'}"
791564,,,,,,,
3732023,649,595,2779,744,3428,1339s,"{'WALK', 'BUS'}"
116779,682,616,2101,300,2783,920s,"{'SUBWAY', 'WALK'}"
413713,833,777,4235,665,5068,1908s,"{'SUBWAY', 'WALK', 'BUS'}"
3357551,778,670,2617,817,3395,1493s,"{'WALK', 'BUS'}"
1083522,1360,1183,1602,304,2962,1487s,"{'WALK', 'BUS'}"
1144022,1064,1059,2987,330,4051,1389s,"{'SUBWAY', 'WALK'}"
411834,814,704,2127,660,2941,1369s,"{'WALK', 'BUS'}"
389286,734,629,13088,2470,13822,3580s,"{'WALK', 'BUS'}"
751740,2023,1801,29527,3179,31550,5303s,"{'SUBWAY', 'WALK', 'BUS'}"
1961862,508,416,4464,1565,4972,1981s,"{'WALK', 'BUS'}"
1774160,2378,2175,31490,3240,33868,5799s,"{'SUBWAY', 'HEAVY_RAIL', 'WALK'}"
1165653,1101,904,2447,555,3548,1489s,"{'WALK', 'BUS'}"
496607,973,832,3467,674,4440,1522s,"{'WALK', 'BUS'}"
626574,1689,1446,40828,4523,42517,6537s,"{'SUBWAY', 'WALK', 'BUS'}"
4103708,875,736,4991,1471,5866,2208s,"{'WALK', 'BUS'}"
484905,850,709,0,0,850,709s,{'WALK'}
3072724,1476,1215,0,0,1476,1215s,{'WALK'}
153671,1170,976,0,0,1170,976s,{'WALK'}
1257001,351,304,3188,819,3539,1123s,"{'WALK', 'BUS'}"
336166,1583,1446,5748,630,7331,2076s,"{'SUBWAY', 'WALK'}"
1789603,1008,845,4191,1069,5199,1917s,"{'WALK', 'BUS'}"
3485241,972,826,1735,417,2707,1266s,"{'WALK', 'BUS'}"
2121491,560,471,7724,1428,8284,2213s,"{'WALK', 'BUS'}"
4519223,636,542,5367,937,6003,2284s,"{'WALK', 'BUS'}"
4101781,1130,1040,5872,840,7002,1883s,"{'SUBWAY', 'WALK'}"
3713749,766,639,1104,273,1870,912s,"{'WALK', 'BUS'}"
54605,1569,1336,11605,2002,13174,3632s,"{'SUBWAY', 'WALK', 'BUS'}"
4804048,818,829,21011,2349,21829,3842s,"{'SUBWAY', 'WALK', 'BUS'}"
4945777,1101,937,2938,712,4039,1651s,"{'WALK', 'BUS'}"
441133,890,856,3801,510,4691,1367s,"{'SUBWAY', 'WALK'}"
4010667,530,487,9594,1697,10124,2196s,"{'WALK', 'BUS'}"
4821075,865,709,1582,518,2447,1241s,"{'WALK', 'BUS'}"
1709522,1765,1498,29973,3011,31738,4799s,"{'SUBWAY', 'WALK', 'BUS'}"
728228,2224,1884,28192,2730,30416,4615s,"{'SUBWAY', 'WALK'}"
3851480,851,706,2869,799,3720,1509s,"{'WALK', 'BUS'}"
3733918,516,440,1962,534,2478,974s,"{'WALK', 'BUS'}"
2430687,580,467,1532,533,2112,1014s,"{'WALK', 'BUS'}"
1711203,708,600,4009,1201,4717,1802s,"{'WALK', 'BUS'}"
1939366,929,795,4312,1407,5241,2480s,"{'WALK', 'BUS'}"
3256045,2765,2368,26199,2460,28964,4830s,"{'SUBWAY', 'WALK'}"
1672529,1342,1272,7044,1031,8386,2533s,"{'SUBWAY', 'WALK', 'BUS'}"
1021237,719,627,4058,1067,4777,1695s,"{'WALK', 'BUS'}"
60536,461,396,7252,2142,7713,3028s,"{'WALK', 'BUS'}"
4204148,1040,915,3473,450,4513,1366s,"{'SUBWAY', 'WALK'}"
1657322,408,492,13292,2151,13700,3174s,"{'SUBWAY', 'WALK', 'BUS'}"
4210629,694,592,6452,1371,7146,2331s,"{'WALK', 'BUS'}"
3317003,1175,983,7405,1701,8580,2928s,"{'WALK', 'BUS'}"
1363677,412,342,1115,300,1527,643s,"{'WALK', 'BUS'}"
2253115,1059,864,4534,1394,5593,2489s,"{'WALK', 'BUS'}"
4288224,369,332,4370,1189,4739,1921s,"{'WALK', 'BUS'}"
3031892,1257,1051,3742,597,4999,2373s,"{'WALK', 'BUS'}"
907525,536,453,1392,351,1928,804s,"{'WALK', 'BUS'}"
369567,1486,1243,6893,1323,8379,2627s,"{'WALK', 'BUS'}"
1583778,795,659,2323,585,3118,1260s,"{'WALK', 'BUS'}"
4065876,1250,1165,7092,990,8342,2155s,"{'SUBWAY', 'WALK'}"
299589,616,499,3004,847,3620,1348s,"{'WALK', 'BUS'}"
3561063,1035,1029,20057,1891,21092,4058s,"{'SUBWAY', 'WALK', 'BUS'}"
3586199,901,778,814,178,1715,978s,"{'WALK', 'BUS'}"
2454423,,,,,,,
2768768,1860,1599,38607,4194,40467,6104s,"{'SUBWAY', 'WALK', 'BUS'}"
193238,247,211,879,225,1126,472s,"{'WALK', 'BUS'}"
4603256,847,724,3327,951,4174,2225s,"{'WALK', 'BUS'}"
786230,1211,1044,20480,2495,21691,4355s,"{'WALK', 'BUS'}"
4821490,1102,985,5080,630,6182,1615s,"{'SUBWAY', 'WALK'}"
3728897,441,375,1042,278,1483,654s,"{'WALK', 'BUS'}"
2629430,1387,1244,3559,570,4946,1814s,"{'SUBWAY', 'WALK'}"
122415,1789,1570,30437,2940,32226,4829s,"{'SUBWAY', 'WALK'}"
509346,580,499,9984,1323,10564,2645s,"{'SUBWAY', 'WALK', 'BUS'}"
4078724,618,525,6259,909,6877,1798s,"{'WALK', 'BUS'}"
4472869,1478,1258,4399,1081,5877,2339s,"{'WALK', 'BUS'}"
3311879,955,804,381,79,1336,894s,"{'WALK', 'BUS'}"
1555169,755,647,9004,1978,9759,3017s,"{'WALK', 'BUS'}"
4560219,1744,1603,6940,1050,8684,2653s,"{'SUBWAY', 'WALK'}"
4638555,1064,893,26573,3729,27637,5394s,"{'SUBWAY', 'WALK', 'BUS'}"
2161223,593,536,7575,2190,8168,3030s,"{'WALK', 'BUS'}"
4614801,639,537,4623,1050,5262,1883s,"{'WALK', 'BUS'}"
1050413,1171,974,4064,918,5235,1910s,"{'WALK', 'BUS'}"
1462274,,,,,,,
1374644,447,361,4573,1300,5020,2116s,"{'WALK', 'BUS'}"
764388,882,755,8610,1586,9492,2341s,"{'WALK', 'BUS'}"
1067375,533,459,8400,2209,8933,2668s,"{'WALK', 'BUS'}"
55962,656,555,1517,718,2173,1280s,"{'WALK', 'BUS'}"
4404647,1820,1672,5454,720,7274,2395s,"{'SUBWAY', 'WALK'}"
2442897,1130,1107,22114,2459,23244,4631s,"{'SUBWAY', 'WALK', 'BUS'}"
661522,738,632,7219,1390,7957,2064s,"{'WALK', 'BUS'}"
4270043,486,457,10187,2186,10673,2878s,"{'WALK', 'BUS'}"
4337761,1744,1519,16612,2207,18356,3985s,"{'SUBWAY', 'WALK', 'BUS'}"
1607841,1205,1009,2473,539,3678,1557s,"{'WALK', 'BUS'}"
2247426,1157,1148,9104,1320,10261,2688s,"{'SUBWAY', 'WALK'}"
343159,935,785,1262,292,2197,1086s,"{'WALK', 'BUS'}"
3769904,982,842,5050,971,6032,2097s,"{'WALK', 'BUS'}"
1607162,927,758,2508,645,3435,1403s,"{'WALK', 'BUS'}"
4123419,952,825,6244,1142,7196,2570s,"{'WALK', 'BUS'}"
794471,969,800,0,0,969,799s,{'WALK'}
4719707,645,536,5382,1394,6027,2436s,"{'WALK', 'BUS'}"
3645721,1007,879,6746,1343,7753,2553s,"{'SUBWAY', 'WALK', 'BUS'}"
2235269,1030,882,5488,942,6518,2102s,"{'SUBWAY', 'WALK', 'BUS'}"
2208140,1184,964,1480,385,2664,1358s,"{'WALK', 'BUS'}"
4561946,556,475,2570,756,3126,1259s,"{'WALK', 'BUS'}"
1104412,1559,1330,2829,620,4388,1951s,"{'WALK', 'BUS'}"
3253468,951,822,2073,699,3024,1521s,"{'WALK', 'BUS'}"
2557215,267,240,1993,765,2260,1241s,"{'WALK', 'BUS'}"
1786641,1895,1608,30023,3030,31918,4649s,"{'SUBWAY', 'WALK'}"
3751895,452,636,7048,1147,7500,2066s,"{'SUBWAY', 'WALK', 'BUS'}"
2650701,220,189,1987,536,2207,753s,"{'WALK', 'BUS'}"
2951463,1257,1100,1980,480,3237,1580s,"{'WALK', 'BUS'}"
1802253,1012,866,4268,1592,5280,2470s,"{'WALK', 'BUS'}"
4039030,610,528,821,212,1431,755s,"{'WALK', 'BUS'}"
1653589,1110,947,1590,270,2700,1217s,"{'SUBWAY', 'WALK'}"
1855666,1994,1688,26219,2581,28213,4517s,"{'SUBWAY', 'WALK', 'BUS'}"
243193,1929,1604,23735,2632,25664,4596s,"{'SUBWAY', 'WALK', 'BUS'}"
2729054,538,460,1482,366,2020,826s,"{'WALK', 'BUS'}"
1058059,1705,1510,25133,2515,26838,4924s,"{'SUBWAY', 'WALK', 'BUS'}"
3479964,507,425,5031,1947,5538,2375s,"{'WALK', 'BUS'}"
3995329,564,467,6145,1220,6709,2478s,"{'WALK', 'BUS'}"
3401000,788,847,11791,1560,12579,2407s,"{'SUBWAY', 'WALK'}"
2024995,827,705,15717,2907,16544,4246s,"{'WALK', 'BUS'}"
4062426,578,520,10540,2025,11118,2565s,"{'WALK', 'BUS'}"
187143,646,575,1888,521,2534,1097s,"{'WALK', 'BUS'}"
741747,1650,1403,6667,1212,8317,2616s,"{'WALK', 'BUS'}"
3518524,1890,1643,30976,3030,32866,5052s,"{'SUBWAY', 'WALK'}"
2756312,664,544,1844,431,2508,982s,"{'WALK', 'BUS'}"
2755188,1966,1673,6008,1146,7974,2835s,"{'WALK', 'BUS'}"
1670293,584,480,6174,1211,6758,1958s,"{'WALK', 'BUS'}"
529830,1297,1176,5844,660,7141,1842s,"{'SUBWAY', 'WALK'}"
1396867,824,712,2194,500,3018,1212s,"{'WALK', 'BUS'}"
935362,593,480,7679,1805,8272,2286s,"{'WALK', 'BUS'}"
2368833,629,522,9904,2783,10533,3544s,"{'WALK', 'BUS'}"
4320568,748,716,4363,660,5111,1854s,"{'SUBWAY', 'WALK', 'BUS'}"
958078,,,,,,,
2718075,,,,,,,
1594680,871,909,26123,3748,26994,5001s,"{'SUBWAY', 'WALK', 'BUS'}"
4939085,328,297,3794,1738,4122,2037s,"{'WALK', 'BUS'}"
805867,1325,1120,5140,1315,6465,2777s,"{'WALK', 'BUS'}"
4181646,1383,1122,9956,1320,11339,2442s,"{'SUBWAY', 'WALK'}"
2051196,896,756,17295,3545,18191,5141s,"{'WALK', 'BUS'}"
3912915,705,637,0,0,705,637s,{'WALK'}
1161358,1766,1517,28980,3359,30746,5325s,"{'SUBWAY', 'WALK', 'BUS'}"
3036706,803,670,6201,1322,7004,1993s,"{'WALK', 'BUS'}"
1137022,1724,1539,32138,3779,33862,5810s,"{'SUBWAY', 'WALK', 'BUS'}"
179216,825,718,4310,1213,5135,2144s,"{'WALK', 'BUS'}"
953031,544,675,16685,2828,17229,3790s,"{'SUBWAY', 'WALK', 'BUS'}"
1274971,1186,995,4084,1434,5270,2430s,"{'WALK', 'BUS'}"
38192,702,596,4741,1166,5443,1764s,"{'WALK', 'BUS'}"
61500,944,806,2629,768,3573,1575s,"{'WALK', 'BUS'}"
485743,2036,1698,0,0,2036,1699s,{'WALK'}
4530362,507,436,16189,1844,16696,2748s,"{'WALK', 'BUS'}"
1170040,326,276,4491,903,4817,1207s,"{'WALK', 'BUS'}"
2751341,354,310,743,121,1097,432s,"{'WALK', 'BUS'}"
1742611,975,835,2657,603,3632,1439s,"{'WALK', 'BUS'}"
48812,472,403,5071,1138,5543,1825s,"{'WALK', 'BUS'}"
4190906,587,506,2095,425,2682,932s,"{'WALK', 'BUS'}"
1972477,1200,1112,10809,1227,12009,2570s,"{'HEAVY_RAIL', 'WALK', 'BUS'}"
1438297,512,452,11454,3299,11966,3752s,"{'WALK', 'BUS'}"
303096,1039,886,6850,1717,7889,2613s,"{'WALK', 'BUS'}"
512145,953,800,7631,1752,8584,2579s,"{'WALK', 'BUS'}"
676396,554,461,5576,1493,6130,1962s,"{'WALK', 'BUS'}"
2106449,1135,1079,5132,780,6267,2118s,"{'SUBWAY', 'WALK'}"
4280375,1339,1078,3185,510,4524,1589s,"{'SUBWAY', 'WALK'}"
3096815,868,756,6406,907,7274,1663s,"{'WALK', 'BUS'}"
291720,404,355,2876,885,3280,1241s,"{'WALK', 'BUS'}"
512133,257,236,7213,928,7470,1178s,"{'WALK', 'BUS'}"
102395,713,599,7083,1740,7796,2743s,"{'WALK', 'BUS'}"
1514704,523,569,8841,990,9364,1559s,"{'SUBWAY', 'WALK'}"
938160,1588,1377,25042,3429,26630,5166s,"{'SUBWAY', 'WALK', 'BUS'}"
4361167,859,724,1320,120,2179,845s,"{'SUBWAY', 'WALK'}"
3191130,593,520,4661,1246,5254,1839s,"{'WALK', 'BUS'}"
