group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
1573548,2059,1757,26920,2472,28979,4665s,"{'WALK', 'SUBWAY', 'BUS'}"
1931597,513,432,1508,317,2021,1119s,"{'WALK', 'BUS'}"
1946011,791,710,5620,1084,6411,2180s,"{'WALK', 'SUBWAY', 'BUS'}"
4151157,3791,3147,6095,450,9886,3597s,"{'WALK', 'SUBWAY'}"
2244805,866,812,4191,780,5057,1593s,"{'WALK', 'SUBWAY'}"
4764278,1546,1341,29166,3584,30712,5152s,"{'WALK', 'SUBWAY', 'BUS'}"
1260164,3516,3038,28883,3289,32399,7322s,"{'WALK', 'SUBWAY', 'BUS'}"
924804,565,497,2839,961,3404,1458s,"{'WALK', 'BUS'}"
1619962,1095,1034,12414,1590,13509,2625s,"{'WALK', 'SUBWAY'}"
1444753,1320,1128,6920,1486,8240,2614s,"{'WALK', 'BUS'}"
2860863,1084,924,2979,678,4063,1602s,"{'WALK', 'BUS'}"
58800,461,388,5714,1534,6175,1924s,"{'WALK', 'BUS'}"
1909507,2158,1833,6546,1128,8704,3528s,"{'WALK', 'BUS'}"
355667,1581,1378,29546,3294,31127,5316s,"{'WALK', 'SUBWAY', 'BUS'}"
3080722,923,774,3863,768,4786,1543s,"{'WALK', 'BUS'}"
2062265,1140,975,986,145,2126,1120s,"{'WALK', 'BUS'}"
32719,1559,1306,2934,554,4493,1860s,"{'WALK', 'BUS'}"
5073387,791,798,19784,2781,20575,4039s,"{'WALK', 'SUBWAY', 'BUS'}"
809062,856,742,2643,739,3499,1481s,"{'WALK', 'BUS'}"
4897737,318,267,12206,3141,12524,3895s,"{'WALK', 'BUS'}"
1773940,965,814,4809,1690,5774,2505s,"{'WALK', 'BUS'}"
4493312,1339,1078,3185,510,4524,1589s,"{'WALK', 'SUBWAY'}"
320908,630,528,0,0,630,528s,{'WALK'}
23477,1151,979,7386,1646,8537,2625s,"{'WALK', 'BUS'}"
3260112,760,654,892,272,1652,927s,"{'WALK', 'BUS'}"
177037,939,841,5047,936,5986,1777s,"{'WALK', 'BUS'}"
623040,931,782,7087,1165,8018,3228s,"{'WALK', 'BUS'}"
4785175,522,453,2499,660,3021,1874s,"{'WALK', 'BUS'}"
1515798,784,766,2343,240,3127,1007s,"{'WALK', 'SUBWAY'}"
1844651,921,812,5343,1614,6264,2427s,"{'WALK', 'BUS'}"
2416495,688,604,6048,1310,6736,2523s,"{'WALK', 'BUS'}"
1322694,810,835,12539,1967,13349,3216s,"{'WALK', 'SUBWAY', 'BUS'}"
4811723,1159,982,4615,1596,5774,2579s,"{'WALK', 'BUS'}"
1065911,1355,1226,6860,720,8215,1947s,"{'WALK', 'SUBWAY'}"
1513583,387,349,4805,1264,5192,1991s,"{'WALK', 'BUS'}"
3838062,646,541,4776,1075,5422,2003s,"{'WALK', 'BUS'}"
49840,571,524,5442,1330,6013,2171s,"{'WALK', 'BUS'}"
1657069,1105,948,3109,845,4214,1793s,"{'WALK', 'BUS'}"
4221844,568,654,2269,240,2837,895s,"{'WALK', 'SUBWAY'}"
1166646,1236,1044,1644,397,2880,1446s,"{'WALK', 'BUS'}"
819983,905,916,4761,910,5666,2235s,"{'WALK', 'SUBWAY', 'BUS'}"
4339493,907,766,0,0,907,766s,{'WALK'}
3486277,816,719,1286,432,2102,1152s,"{'WALK', 'BUS'}"
2863068,1037,995,1597,240,2634,1237s,"{'WALK', 'SUBWAY'}"
4821408,993,903,0,0,993,903s,{'WALK'}
2782457,818,704,3923,582,4741,2004s,"{'WALK', 'BUS'}"
2127019,773,776,6534,1771,7307,2836s,"{'WALK', 'SUBWAY', 'BUS'}"
1420733,811,707,7731,1547,8542,2256s,"{'WALK', 'BUS'}"
65650,899,715,4989,1751,5888,2467s,"{'WALK', 'BUS'}"
148840,789,660,1157,197,1946,881s,"{'WALK', 'BUS'}"
1926728,954,809,4780,1210,5734,2019s,"{'WALK', 'BUS'}"
4934586,920,766,3977,1474,4897,2240s,"{'WALK', 'BUS'}"
2274898,842,736,6764,1877,7606,2942s,"{'WALK', 'BUS'}"
544248,1312,1108,7224,1366,8536,3068s,"{'WALK', 'BUS'}"
1692150,713,599,7083,2006,7796,3116s,"{'WALK', 'BUS'}"
4259723,1145,1105,5795,930,6940,2035s,"{'WALK', 'SUBWAY'}"
1754505,959,821,11072,1819,12031,2637s,"{'WALK', 'BUS'}"
4665055,802,675,2989,655,3791,1665s,"{'WALK', 'BUS'}"
23156,1081,1081,13129,1834,14210,3214s,"{'WALK', 'SUBWAY', 'BUS'}"
423638,1172,1012,8084,1555,9256,2568s,"{'WALK', 'BUS'}"
