day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
1,20,41.929,-87.636,41.891,-87.619,50,3498553,2026,4,22,929.0,793.0,4670.0,1217.0,5599.0,2038s,"{'BUS', 'WALK'}"
0,22,41.885,-87.657,41.859,-87.617,960,2092906,2026,4,22,1229.0,1108.0,5358.0,1021.0,6587.0,2470s,"{'SUBWAY', 'BUS', 'WALK'}"
2,16,41.929,-87.636,41.877,-87.622,11,4665902,2026,4,22,1044.0,883.0,6094.0,1822.0,7138.0,2706s,"{'BUS', 'WALK'}"
2,5,41.885,-87.643,41.893,-87.638,261,4270372,2026,4,26,1005.0,869.0,1252.0,293.0,2257.0,1164s,"{'BUS', 'WALK'}"
1,2,41.967,-87.694,41.953,-87.646,3,2596735,2026,4,22,264.0,375.0,5471.0,957.0,5735.0,2104s,"{'SUBWAY', 'BUS', 'WALK'}"
0,16,41.973,-87.694,41.983,-87.877,6,1323487,2026,4,22,3323.0,2784.0,16295.0,2168.0,19618.0,6070s,"{'SUBWAY', 'BUS', 'WALK'}"
2,6,41.949,-87.652,41.965,-87.703,5,4377773,2026,4,25,624.0,622.0,7617.0,990.0,8241.0,2248s,"{'SUBWAY', 'WALK'}"
0,12,41.891,-87.619,41.979,-87.903,4083,815319,2026,4,25,1562.0,1379.0,28560.0,2931.0,30122.0,4635s,"{'SUBWAY', 'BUS', 'WALK'}"
2,20,41.783,-87.608,41.859,-87.617,4,4862729,2026,4,22,1495.0,1232.0,9572.0,1808.0,11067.0,3040s,"{'BUS', 'WALK'}"
1,18,41.892,-87.632,41.898,-87.621,154,3327896,2026,4,22,837.0,749.0,874.0,401.0,1711.0,1150s,"{'BUS', 'WALK'}"
0,21,41.859,-87.617,41.856,-87.66,84,1923060,2026,4,22,1673.0,1382.0,3345.0,848.0,5018.0,2249s,"{'BUS', 'WALK'}"
1,1,41.871,-87.622,41.881,-87.633,278,2458205,2026,4,25,645.0,536.0,1963.0,516.0,2608.0,1053s,"{'BUS', 'WALK'}"
2,3,41.938,-87.639,41.943,-87.652,45,4130987,2026,4,22,585.0,483.0,1210.0,301.0,1795.0,785s,"{'BUS', 'WALK'}"
1,16,41.879,-87.643,41.912,-87.675,14,3188543,2026,4,22,855.0,745.0,4484.0,1083.0,5339.0,1876s,"{'BUS', 'WALK'}"
1,0,41.801,-87.585,41.79,-87.601,141,2352844,2026,4,25,294.0,241.0,2773.0,661.0,3067.0,902s,"{'BUS', 'WALK'}"
2,0,41.898,-87.654,41.9,-87.67,29,3829825,2026,4,22,868.0,728.0,1174.0,277.0,2042.0,1013s,"{'BUS', 'WALK'}"
0,22,41.879,-87.657,41.892,-87.632,727,2089121,2026,4,22,488.0,457.0,3037.0,1224.0,3525.0,2169s,"{'BUS', 'WALK'}"
0,16,41.739,-87.689,41.725,-87.619,2,1223785,2026,4,22,1273.0,1099.0,6603.0,1263.0,7876.0,2677s,"{'BUS', 'WALK'}"
0,2,41.906,-87.631,41.885,-87.643,139,310457,2026,4,26,548.0,600.0,4401.0,856.0,4949.0,1853s,"{'SUBWAY', 'BUS', 'WALK'}"
0,19,41.859,-87.617,41.885,-87.643,510,1633797,2026,4,25,1857.0,1695.0,4943.0,840.0,6800.0,2535s,"{'SUBWAY', 'WALK'}"
1,0,41.79,-87.601,41.806,-87.604,34,2350309,2026,4,25,694.0,569.0,1829.0,436.0,2523.0,1006s,"{'BUS', 'WALK'}"
2,13,41.881,-87.633,41.879,-87.643,157,4536182,2026,4,22,544.0,484.0,446.0,183.0,990.0,668s,"{'BUS', 'WALK'}"
0,0,41.906,-87.675,41.915,-87.632,212,71105,2026,4,22,1158.0,960.0,3528.0,1028.0,4686.0,2004s,"{'BUS', 'WALK'}"
0,19,41.967,-87.652,41.942,-87.661,2,1705105,2026,4,25,1820.0,1541.0,2962.0,390.0,4782.0,1932s,"{'SUBWAY', 'WALK'}"
2,2,41.931,-87.642,41.946,-87.654,51,4035521,2026,4,22,522.0,432.0,1742.0,511.0,2264.0,943s,"{'BUS', 'WALK'}"
2,21,41.943,-87.652,41.892,-87.632,42,4962376,2026,4,22,943.0,874.0,6713.0,870.0,7656.0,1745s,"{'SUBWAY', 'WALK'}"
0,18,41.979,-87.903,41.885,-87.621,6402,1573550,2026,4,25,2227.0,1912.0,28148.0,2550.0,30375.0,4462s,"{'SUBWAY', 'WALK'}"
