day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,22,41.979,-87.903,41.973,-87.664,176,2168028,2026,04,22
2,0,41.942,-87.661,41.987,-87.672,3,3858822,2026,04,22
0,19,41.899,-87.626,41.892,-87.632,469,1660443,2026,04,25
0,20,41.885,-87.621,41.979,-87.903,7099,1791102,2026,04,22
0,19,41.986,-87.769,41.951,-87.671,1,1712807,2026,04,25
0,21,41.877,-87.622,41.906,-87.631,87,1933960,2026,04,22
0,22,41.922,-87.634,41.929,-87.666,38,2127421,2026,04,22
0,22,41.893,-87.626,41.893,-87.638,1147,2101793,2026,04,22
2,4,41.929,-87.656,41.938,-87.647,12,4214376,2026,04,22
0,1,41.681,-87.652,41.744,-87.564,3,134079,2026,04,22
0,20,41.728,-87.596,41.77,-87.589,16,1728060,2026,04,22
0,22,41.696,-87.616,41.696,-87.652,13,2025929,2026,04,22
0,14,41.847,-87.664,41.871,-87.622,21,1012033,2026,04,22
0,22,41.74,-87.658,41.761,-87.671,1,2032521,2026,04,22
1,18,41.859,-87.617,41.859,-87.617,385,3318257,2026,04,22
0,4,41.892,-87.632,41.957,-87.723,19,509425,2026,04,22
0,2,41.905,-87.65,41.958,-87.672,38,309068,2026,04,26
2,13,41.891,-87.619,41.849,-87.624,194,4537170,2026,04,22
1,5,41.9,-87.68,41.747,-87.573,1,2804147,2026,04,22
0,2,41.783,-87.604,41.798,-87.59,143,266000,2026,04,26
1,22,41.881,-87.633,41.885,-87.657,1334,3639207,2026,04,25
0,16,41.98,-87.652,41.907,-87.636,15,1327006,2026,04,22
0,11,41.879,-87.643,41.905,-87.65,150,755222,2026,04,26
0,22,41.877,-87.622,41.885,-87.657,1581,2087559,2026,04,22
0,20,41.881,-87.633,41.892,-87.632,1902,1787093,2026,04,22
0,13,41.907,-87.71,41.907,-87.71,7,922884,2026,04,22
2,3,41.936,-87.704,41.908,-87.627,3,4128163,2026,04,22
2,0,41.943,-87.701,41.906,-87.675,13,3859474,2026,04,22
0,1,41.892,-87.632,41.961,-87.752,26,184507,2026,04,22
