Pickup Neighborhood,Dropoff Neighborhood,totalTransitTime_wavg,rideshareTime_wavg,tripCost_wavg,transitPenalty_wavg,distance_wavg,Count,transitPenaltyColor
Ashburn,Loop,73.65114942528737,35.53390804597702,27.990344827586206,2.127835798546713,13.799999999999997,29.0,yellow
Ashburn,Lower West Side,71.70083333333335,29.170833333333338,32.252500000000005,2.4721774871652,10.064999999999998,20.0,orange
Ashburn,Morgan Park,57.357142857142854,17.807142857142853,13.14857142857143,3.219253740239407,5.014285714285714,7.0,red
Ashburn,Museum Campus,80.71666666666667,28.866666666666667,27.154999999999998,2.8077229929966014,11.8875,8.0,red
Ashburn,New City,46.266666666666666,16.433333333333334,21.915,2.8528861497539677,5.0,2.0,red
Ashburn,North Lawndale,85.0,38.016666666666666,29.11,2.235861464270057,8.45,2.0,yellow
Ashburn,Portage Park,120.83333333333333,62.233333333333334,47.68,1.9416175682913763,21.5,1.0,green
Ashburn,Pullman,85.08333333333333,24.854761904761904,24.444285714285716,3.455660413095252,7.885714285714284,7.0,red
Ashburn,River North,83.35,42.294444444444444,33.49666666666666,1.9822868828503468,14.633333333333335,3.0,green
Ashburn,Roseland,46.98333333333333,22.083333333333332,13.936666666666667,2.3339976225241927,6.900000000000001,3.0,yellow
Ashburn,South Chicago,59.15,24.688888888888886,18.55333333333333,2.4176539815471325,6.766666666666666,3.0,orange
Ashburn,South Deering,64.66666666666667,35.35,27.063333333333333,1.8433858722482832,10.833333333333334,3.0,green
Ashburn,South Shore,76.88333333333334,33.06666666666667,29.2,2.325100806451613,8.4,1.0,yellow
Ashburn,Streeterville,80.97933333333333,45.775333333333336,37.6136,1.822173809629806,15.74,25.0,green
Ashburn,Uptown,105.5,51.7,33.67,2.0406189555125724,21.3,1.0,yellow
Ashburn,Washington Heights,44.38373493975903,14.905823293172691,18.283012048192774,3.0416663352376814,3.7879518072289153,83.0,red
Ashburn,Washington Park,65.46666666666667,24.766666666666666,17.78,2.6433378196500676,8.3,1.0,orange
Ashburn,West Lawn,45.18550724637681,15.355797101449273,16.167826086956524,3.031067086722331,3.6739130434782608,23.0,red
Ashburn,West Pullman,64.36666666666665,24.232323232323232,26.160606060606064,2.6676151828186287,6.524242424242424,33.0,orange
Auburn Gresham,Ashburn,29.867505995203835,10.726978417266187,14.280863309352517,2.9043270640049315,2.816546762589928,139.0,red
Auburn Gresham,Auburn Gresham,15.899322493224933,6.337669376693767,10.125975609756097,2.7712458391010553,1.3308943089430894,246.0,red
Auburn Gresham,Austin,95.21666666666667,33.916666666666664,35.02,2.8073710073710076,19.1,1.0,red
Auburn Gresham,Avalon Park,49.49871794871796,19.555128205128206,16.287692307692307,2.5451356140827333,4.638461538461538,13.0,orange
Auburn Gresham,Beverly,38.83333333333333,12.5475,16.7005,3.3459991894729866,3.44,20.0,red
Auburn Gresham,Bridgeport,59.63333333333333,14.85,13.26,4.015712682379349,8.4,1.0,red
Auburn Gresham,Burnside,52.03888888888888,20.577777777777776,21.862222222222222,2.575286236781642,4.955555555555556,9.0,orange
Auburn Gresham,Calumet Heights,45.03333333333334,18.83888888888889,20.625833333333336,2.4009473824594374,5.345833333333334,24.0,orange
Auburn Gresham,Chatham,28.10027322404371,8.955100182149362,10.500054644808744,3.365326972976733,2.0065573770491802,183.0,red
Auburn Gresham,Chicago Lawn,40.42222222222222,12.430864197530864,12.876666666666665,3.4040911705320585,3.4555555555555553,27.0,red
Auburn Gresham,Douglas,70.19166666666668,25.839583333333334,24.773750000000003,2.7996162572639975,9.462499999999999,24.0,red
Auburn Gresham,Englewood,36.325053763440856,12.993333333333332,15.432387096774196,2.879793323807022,3.4780645161290322,155.0,red
Auburn Gresham,Garfield Park,83.48333333333333,34.21666666666667,33.94,2.439844130540672,11.7,1.0,orange
Auburn Gresham,Garfield Ridge,57.69479166666667,27.712847222222226,34.72145833333334,2.0976291670371014,7.877083333333334,48.0,yellow
Auburn Gresham,Gold Coast,67.75,26.0,53.73,2.605769230769231,14.7,1.0,orange
Auburn Gresham,Grand Boulevard,62.85000000000001,26.60166666666667,20.760999999999996,2.447161145207249,7.7799999999999985,10.0,orange
Auburn Gresham,Grand Crossing,38.29626666666666,13.120266666666666,14.4924,2.983069933378169,3.3488,125.0,red
Auburn Gresham,Grant Park,60.38333333333333,26.416666666666664,23.945,2.287261140154344,11.25,2.0,yellow
Auburn Gresham,Hyde Park,62.3108187134503,28.99298245614035,25.173684210526318,2.1786797063093264,7.7631578947368425,57.0,yellow
Auburn Gresham,Jackson Park,55.63333333333333,17.485714285714288,19.509285714285717,3.194599152562522,4.7,14.0,red
Auburn Gresham,Kenwood,54.61666666666667,21.95,18.73,2.4882308276385725,7.4,1.0,orange
Auburn Gresham,Lincoln Park,82.5,47.21666666666667,32.61,1.7472643840451818,16.3,1.0,green
Auburn Gresham,"Little Italy, UIC",74.59892473118279,33.651152073732725,25.55032258064516,2.281678361904677,10.611520737327188,217.0,yellow
Auburn Gresham,Loop,52.936773700305814,28.716666666666658,27.848027522935784,1.9441640042430632,11.849999999999998,218.0,green
